baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PEX26	1168.69730305257	-3.91207083036351	1.3940071062507	-2.8063492738465	0.00501063479040072	0.0237932499385842
RIMBP3	194.898782800911	-4.66314107150868	1.42396476651884	-3.27475874484496	0.00105752244647621	NA
COMT	379.629713419772	-2.57991124528794	1.39504792935835	-1.84933520275147	0.0644094255901737	0.119617504667465
CCDC188	767.731931356576	-2.74057647375197	1.39324114199255	-1.96705106614389	0.049177323840605	0.0988614834330007
ZNF74	577.024472962765	-2.04721207441236	1.39315702262794	-1.46947690831768	0.141703480583182	0.204682805286818
SERPIND1	1022.08108367076	-2.89278209915775	1.39284025224802	-2.0768943850444	0.0378113081144022	0.078362566092167
TOP3B	880.137191464701	-3.02208273789367	1.39329809097752	-2.16901376486737	0.0300816388906819	0.0682805454185319
ZNF280A	2265.76483721397	-4.02458667358245	1.39268528156488	-2.889803408463	0.00385482812976078	0.0204163119465108
PRAME	452.201480463437	-3.11360716345831	1.39558034724405	-2.23104830159508	0.0256779296926236	0.0611990657674196
GGTLC2	455.955687674147	-4.09851426598505	1.40107535732205	-2.92526325908604	0.00344164932981016	0.0202753412838952
DRICH1	272.246898669377	-2.83228027265537	1.39815618518921	-2.02572523918141	0.0427929487954821	NA
ZNF70	570.998780773247	-3.907585791717	1.39706395638422	-2.79699850093501	0.00515797725941335	0.0237932499385842
AP000349.2	1093.94502820236	-4.28848243777581	1.39482055220723	-3.07457646145915	0.00210801678834916	0.0202753412838952
ADORA2A	847.89047350436	-3.04659096440106	1.39351543791388	-2.18626280090723	0.028796384006822	0.0664174663383152
TMEM211	910.718858590293	-2.47058028488421	1.39285993527116	-1.77374639209738	0.0761051089762635	0.131120850404888
XBP1	694.867917533218	-3.46987441715226	1.39453332444107	-2.48819756139064	0.0128392388172242	0.0374696153237361
KREMEN1	2147.18503941123	-4.3005584963123	1.39300208787652	-3.08725918915744	0.00202011373320701	0.0202753412838952
EWSR1	1107.34176527486	-2.8961175136067	1.39285953286636	-2.0792602881116	0.0375934330525906	0.078362566092167
RFPL1	250.334215901654	-3.00233805732584	1.39853300994017	-2.14677668384408	0.0318110644276086	NA
THOC5	2816.33068696821	-4.31807661341909	1.39278622125717	-3.10031543069221	0.0019331465237652	0.0202753412838952
TBC1D10A	406.456360609182	-2.72941862483612	1.39542401713721	-1.95597796176367	0.0504677502839794	0.0988614834330007
SMTN	829.468433773504	-4.32390538619007	1.39598937887681	-3.09737699413517	0.00195241404332503	0.0202753412838952
INPP5J	585.846536447518	-4.01978201070456	1.39670478663204	-2.87804699259155	0.00400145527030887	0.0204360037019346
RNF185	748.005897082391	-2.90805328159019	1.39370248469094	-2.08656676265815	0.0369273143714856	0.078362566092167
YWHAH	1608.55034515315	-3.77560685568325	1.39296205591216	-2.71048794161939	0.00671842914039929	0.0253731354758468
SLC5A4	1836.33118721014	-4.31634960933768	1.3934310043427	-3.0976414303152	0.00195067292617174	0.0202753412838952
SYN3	2959.39173309877	-4.32112485102784	1.39264924356318	-3.10280917539005	0.00191693200152144	0.0202753412838952
TIMP3	712.718168931093	-3.33095270912266	1.39423944828627	-2.38908224352488	0.0168905208100878	0.0453257374363813
MPST	3101.13055353	-4.24216513879058	1.39243867426201	-3.04657233183998	0.00231466780764547	0.0202753412838952
SSTR3	1004.54801886684	-3.14445280586128	1.39310770475403	-2.25714982059945	0.0239987146898341	0.0581663762821404
CARD10	1805.2136215601	-3.69558384375213	1.39270067982649	-2.65353776104464	0.00796528577590233	0.0277813625842447
PDXP	580.216350234699	-3.83634890072442	1.39835099578496	-2.74348065134454	0.00607916306586697	0.0244240118424147
LGALS1	790.098767977657	-2.00457601654136	1.39264030034476	-1.43940687056457	0.150035278880836	0.213545522967229
NOL12	647.591162609319	-4.37619591454655	1.39786013906538	-3.13063931951912	0.00174426241749965	0.0202753412838952
TRIOBP	353.755790755093	-3.83463143339448	1.39963120113567	-2.73974417709683	0.0061487022820065	0.0244240118424147
H1F0	2550.94564792043	-4.06854441980417	1.39261671244896	-2.92151055163592	0.00348338476034926	0.0202753412838952
C22orf23	842.190996944377	-2.5128824345078	1.39299579363598	-1.80394115042423	0.0712405330697864	0.125770323814561
KCNJ4	690.582745694787	-2.40577218457393	1.39319612760823	-1.72680079774844	0.0842034451870402	0.138403363928124
FAM227A	1575.05365159267	-3.7406734947714	1.39325449005628	-2.68484582068011	0.00725632713531311	0.0266065328294814
GTPBP1	817.371467031859	-2.71076910797532	1.39319722040247	-1.94571814261317	0.0516886061045397	0.0998847388236376
CBX7	119.220717682965	-2.24962981125653	1.40426218218747	-1.60200127853063	0.109155326767861	NA
TAB1	1250.46240560404	-4.10080256839081	1.39395350939597	-2.94185031333489	0.00326257590221509	0.0202753412838952
MGAT3	2411.68364586383	-4.03976455438921	1.39269447684226	-2.90068254133442	0.00372350893913454	0.0204163119465108
ATF4	3295.45697288968	-4.35861212180898	1.39239589357901	-3.13029659302256	0.00174629890522502	0.0202753412838952
SLC25A17	618.669857750553	-2.31197539504351	1.39348974582293	-1.65912623467362	0.0970903578132536	0.15257056227797
RANGAP1	209.800971575722	-2.10321242351284	1.39675610116938	-1.50578359511157	0.132122735957642	NA
POLR3H	2908.4680686481	-4.40054701860794	1.39259978457851	-3.15995095456648	0.00157795698797677	0.0202753412838952
SREBF2	1225.67794765586	-3.52514618762242	1.39318521368596	-2.53027820923818	0.0113972115717065	0.0358680419598327
TNFRSF13C	1096.03170819674	-3.45592648394412	1.39329819776112	-2.48039256025553	0.013123780791072	0.037534013062466
CENPM	1421.29884205613	-4.42375663309276	1.39415079082436	-3.17308332944171	0.00150829227423011	0.0202753412838952
NAGA	572.384706286802	-3.05099297761678	1.39458130161987	-2.18774837585512	0.0286879361559821	0.0664174663383152
SMDT1	196.89130752724	-2.44381377845121	1.3980707270388	-1.74799009176549	0.0804657431364267	NA
CYP2D6	1117.11126903001	-4.06590939783555	1.39430838905658	-2.91607612042457	0.00354464008459706	0.0202753412838952
PACSIN2	143.161979018194	-2.77532622658	1.40308488090112	-1.97801734189992	0.0479267503194773	NA
MPPED1	1895.79294627932	-4.1576824438262	1.39304462479631	-2.9846010456658	0.00283948399954861	0.0202753412838952
PARVB	289.217351801464	-2.31209491701638	1.39586623655241	-1.65638716409312	0.0976434388296957	NA
ATXN10	1053.60616480126	-3.77639842037177	1.3938644159231	-2.70930111797912	0.00674251152505021	0.0253731354758468
GRAMD4	652.582765439346	-2.33973143784986	1.39320329004274	-1.67938983102608	0.0930760938333486	0.14791745564136
CRELD2	359.426120853716	-2.96035001268072	1.39607187681251	-2.12048538606747	0.0339651326687296	0.0747232918712052
MOV10L1	1157.89434131731	-3.85640036529529	1.39371463125226	-2.76699424603895	0.00565757536922959	0.0244240118424147
MAPK12	338.1959544067	-2.52852653297309	1.39609938726067	-1.81113648214859	0.0701197274881643	0.125339012885094
LMF2	773.692091246498	-4.13206230584202	1.3956553514526	-2.96066095511428	0.00306979671157745	0.0202753412838952
CPT1B	1.51089027337858	-2.9300672599266	2.10328767912552	-1.39308915704048	0.163592831568427	NA
