baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BAGE5	637.806878239515	4.18837552909766	1.39693698575554	2.99825659410997	0.00271528955852941	0.0202753412838952
CCT8L2	271.569450440607	2.98434881574709	1.39796615090319	2.13477902438409	0.0327790644309153	NA
CECR2	1831.81625089265	3.69900501701192	1.39267783424223	2.65603783306035	0.00790647436403456	0.0277813625842447
ATP6V1E1	1058.90060375795	3.2967817337975	1.39335258096581	2.36607860697564	0.017977626905336	0.0459071544189829
BCL2L13	453.199310113953	2.55289093607165	1.39452083464988	1.83065815342415	0.0671515827460932	0.123111235034504
BID	712.095138778991	2.45885328388544	1.39329021204088	1.76478185422959	0.077600435463322	0.132105503229227
HIRA	255.767187464999	3.32414920582559	1.40325927315627	2.36887741945847	0.017842165797544	NA
TRMT2A	419.06727485321	3.50897496537049	1.39745189701729	2.51098085941993	0.0120396224760278	0.0358680419598327
RTN4R	808.822731906257	2.15110066395738	1.39283253961816	1.54440724406617	0.122489706226423	0.182458624899775
PI4KA	238.910589927962	2.04406476239725	1.39620057088187	1.4640194288892	0.143188639856348	NA
SLC7A4	294.320715950969	2.97718782455529	1.39743677581414	2.13046334265877	0.0331333791039978	NA
PI4KAP2	0.988931080499968	3.41158975252991	2.42310882574971	1.40793913846373	0.159149092491187	NA
MIF	762.10857316325	3.61790347756302	1.39480970590636	2.59383302413433	0.0094912569800233	0.0315639476312403
DDT	126.631904612198	2.64026744114587	1.41181469984404	1.87012321194667	0.0614667098029947	NA
SUSD2	497.580304464594	2.53472105368404	1.39418730185686	1.81806350574858	0.0690544270208591	0.124997253974467
GGT5	637.144463763134	2.6186069315661	1.39383751819162	1.87870314680832	0.0602850379092063	0.114833344204228
UPB1	1128.32332716481	4.2038303354815	1.39445879964602	3.01466801066381	0.00257260681721169	0.0202753412838952
GUCD1	318.024705090256	2.71986303184615	1.39640040127735	1.94776729465143	0.0514428138031857	NA
SNRPD3	596.381105156045	2.27954854484977	1.39359980905998	1.63572679188826	0.101896779620166	0.158383037887867
MYO18B	384.729094361424	2.3906120784018	1.39483817499806	1.71389923308137	0.086547233942217	0.140639255156103
TPST2	1476.0093269289	3.84886426690679	1.39327805199423	2.76245237725364	0.00573689302077237	0.0244240118424147
UQCR10	1179.67022213221	3.39827221125706	1.39330068724758	2.43900849426138	0.0147276220682847	0.0405009606877828
MTFP1	172.599448282288	3.3772671906186	1.40434807270753	2.40486475985072	0.0161784517090636	NA
PATZ1	616.095299970662	3.40356185397464	1.39502147359902	2.43979172965258	0.0146957316499521	0.0405009606877828
DRG1	1638.91801940877	3.27264489460093	1.39260743528926	2.35001251010927	0.0187727801135786	0.0470966237937148
PRR14L	1315.55070444255	3.82519512289339	1.39343543434099	2.74515419130451	0.00604824728523846	0.0244240118424147
HMGXB4	431.597103939559	2.21624779524786	1.39411256963238	1.58971939822067	0.111898069151724	0.170227913709538
MB	678.583780132217	3.31536520374764	1.39450680793731	2.37744640963895	0.0174329759370697	0.0453257374363813
RBFOX2	403.042367819362	2.05642738159338	1.39431695131741	1.47486364535006	0.140249205976885	0.204649351578516
APOL1	675.909838940695	2.18205159691141	1.39315798153385	1.56626285448906	0.117287093272735	0.176547940400012
TXN2	216.902230368163	2.47006599790968	1.39763258057998	1.76732142068745	0.0771744144452527	NA
PVALB	1457.51590994202	3.55452103090457	1.39321189806548	2.5513140074673	0.0107317587503433	0.0348782159386156
KCTD17	2859.93642241002	4.33502027108394	1.39266049212486	3.11276172160938	0.00185345593792407	0.0202753412838952
MFNG	455.102039690323	2.00221223654071	1.39369600637462	1.43662048781284	0.150825858878952	0.213545522967229
GGA1	364.423277363325	2.61374894596509	1.39528249684357	1.87327580749987	0.0610303088078413	0.114833344204228
SLC16A8	739.890973806085	2.9878408390141	1.39368127880985	2.14384801205453	0.0320450669008527	0.0716006963565928
KDELR3	2074.85570006264	4.1762509363501	1.39297024665838	2.99809055244976	0.00271676938523596	0.0202753412838952
JOSD1	587.730080397576	2.73114052967402	1.39388520283145	1.9593726399607	0.0500691624187745	0.0988614834330007
APOBEC3C	741.179849603947	2.34016918655351	1.39354407572945	1.67929326909057	0.093094902151905	0.14791745564136
MIEF1	1596.85533107318	3.31136078300347	1.3927522560955	2.37756626744707	0.0174273112788368	0.0453257374363813
SGSM3	2511.40324818495	4.10564844313436	1.39257256569245	2.94824739786026	0.00319581197166607	0.0202753412838952
XRCC6	1647.66302688231	3.96236197599818	1.39336316515816	2.84373957563922	0.00445874748503834	0.0219862375986373
SNU13	508.283000664166	2.89869240867921	1.39459681682973	2.07851643837011	0.0376618184534838	0.078362566092167
NDUFA6	1595.10981261339	3.50103581065533	1.3928084923425	2.51365197003294	0.0119488284975181	0.0358680419598327
SERHL2	97.5202354336418	2.38665958048517	1.40569782669249	1.69784681683745	0.0895366771394568	NA
ARFGAP3	688.023877161865	2.23042073896088	1.39315169680688	1.60098914143595	0.109379324195957	0.168185412473353
SAMM50	2640.23212678079	4.19131303554135	1.39282076501766	3.00922641362846	0.00261913850188273	0.0202753412838952
PARVG	556.182044524147	2.4873985158411	1.39379118822233	1.78462781000472	0.0743217074403881	0.12960980687775
CDPF1	1261.16476364994	3.22031045137636	1.39292854587132	2.31189924344752	0.0207832364354756	0.0512414277633278
PKDREJ	486.789850826405	2.44384934198107	1.39421062571006	1.75285519771192	0.0796268655959267	0.133960491531971
TTC38	475.992718075938	2.87125593435335	1.39486967042746	2.05844029390462	0.039547887130815	0.0807906837100934
GTSE1	921.356564620841	2.40955398477386	1.39267543283537	1.73016190848446	0.0836013518588841	0.138403363928124
ALG12	588.374478188358	3.5213182298457	1.39569642659271	2.52298290857005	0.0116364056514375	0.0358680419598327
PANX2	875.070978248954	3.63198062357904	1.39416985258538	2.60512061485466	0.00918419224819203	0.0312699878926538
PPP6R2	800.972934811453	2.12369297957534	1.39268315618822	1.52489313175001	0.127285755261068	0.187648072188997
SYCE3	2120.10160809607	4.40941645826547	1.39351773238191	3.16423419365361	0.00155491621001326	0.0202753412838952
MAPK8IP2	1471.89175264694	4.2208297109271	1.39387330715363	3.0281300956586	0.00246072127510798	0.0202753412838952
